,asin,product,date,verified,title,desc,reviewer_name,rating,month,year,month_year,title_desc
0,B08267BBJT,AAA,2020-08-11,Verified Purchase,"Didn't work, then worked, now don't work again"," All I got in terms of use out of these batteries were about three days of use out of two of them and have had no additional success. I bought them because I was bleeding through AAA batteries and was hoping the compact design would be better than something more bulky.Right out of the box, I charged them until the light was green indicating they were fully charged, tried to use them in a couple of devices and didn't have any luck. I was going to return them, but my friend suggested I switch from charging in an extension cord to directly in a wall socket. I thought that it did the trick, even though I thought that was silly, when I tried the batteries in a device after letting them charge overnight plugged directly into the wall socket, they did work, and worked well.About three days later, the device stopped working in the middle of high powered usage (hair trimmers). I swapped the batteries I had in there for the other two that had been charging the entire time, and they didn't work. I went out and bought regular AAA batteries and the device went back to working just fine. I tried the batteries in a few other devices and they aren't working. It seems they work just enough to convince you they work, then stop working.I don't often leave feedback on products, but I felt it was important to say here that I would not recommend anyone buy these batteries. If not totally faulty, they are at the very least completely inconsistent, and you'd do better just buying disposables.",Jasmine Carroll,1.0,8,2020,2020-08,"Didn't work, then worked, now don't work again All I got in terms of use out of these batteries were about three days of use out of two of them and have had no additional success. I bought them because I was bleeding through AAA batteries and was hoping the compact design would be better than something more bulky.Right out of the box, I charged them until the light was green indicating they were fully charged, tried to use them in a couple of devices and didn't have any luck. I was going to return them, but my friend suggested I switch from charging in an extension cord to directly in a wall socket. I thought that it did the trick, even though I thought that was silly, when I tried the batteries in a device after letting them charge overnight plugged directly into the wall socket, they did work, and worked well.About three days later, the device stopped working in the middle of high powered usage (hair trimmers). I swapped the batteries I had in there for the other two that had been charging the entire time, and they didn't work. I went out and bought regular AAA batteries and the device went back to working just fine. I tried the batteries in a few other devices and they aren't working. It seems they work just enough to convince you they work, then stop working.I don't often leave feedback on products, but I felt it was important to say here that I would not recommend anyone buy these batteries. If not totally faulty, they are at the very least completely inconsistent, and you'd do better just buying disposables."
1,B08267BBJT,AAA,2020-07-30,Verified Purchase,These absolutely suck, I bought these for a wall mounted magnifying mirror that has LED lights so you would think it shouldn't be sucking an immense amount of power out of these. If I turn the mirror on long enough to check my makeup and apply mascara I get about 3 uses out of it at 5-10 minutes a piece before these die and have to be recharged again. Opening the mirror to remove them is a PITA so I'm not pleased.,Ashlee M.,1.0,7,2020,2020-07,These absolutely suck I bought these for a wall mounted magnifying mirror that has LED lights so you would think it shouldn't be sucking an immense amount of power out of these. If I turn the mirror on long enough to check my makeup and apply mascara I get about 3 uses out of it at 5-10 minutes a piece before these die and have to be recharged again. Opening the mirror to remove them is a PITA so I'm not pleased.
2,B08268F6XN,AA,2020-07-19,Verified Purchase,longer lasting battery for remote controller!!, i like the constant voltage and hopefully it gives off a warning whenever it quits. but some folks who tried that it will last for 8 hrs continuous use and quits after that. i have used it for maybe an hour or less and the voltage still not dropping to 5.95 volts. so it is very good!!,ARCHANGEL TROY,5.0,7,2020,2020-07,longer lasting battery for remote controller!! i like the constant voltage and hopefully it gives off a warning whenever it quits. but some folks who tried that it will last for 8 hrs continuous use and quits after that. i have used it for maybe an hour or less and the voltage still not dropping to 5.95 volts. so it is very good!!
3,B08267BBJT,AAA,2020-07-18,Verified Purchase,Minimal plastic in packaging.," Just received these today, but I’m reviewing to say I noticed the minimal use of plastic and appreciate it.",ira,5.0,7,2020,2020-07,"Minimal plastic in packaging. Just received these today, but I’m reviewing to say I noticed the minimal use of plastic and appreciate it."
4,B08267BBJT,AAA,2020-07-17,Verified Purchase,Not long enough battery life for a night hike, Shuts off suddenly in headlamp,T,3.0,7,2020,2020-07,Not long enough battery life for a night hike Shuts off suddenly in headlamp
5,B08267BBJT,AAA,2020-07-17,Verified Purchase,"So far, I love them!"," I bought these because we were burning through batteries like crazy in our noise cancelling headphones as a result of working from home. With the four batteries, two are in our headphones and two are charging at any particular time, so when it runs out we just switch. They seem to charge very rapidly as well, much faster that I expected.",Joseph M Zenevitch,5.0,7,2020,2020-07,"So far, I love them! I bought these because we were burning through batteries like crazy in our noise cancelling headphones as a result of working from home. With the four batteries, two are in our headphones and two are charging at any particular time, so when it runs out we just switch. They seem to charge very rapidly as well, much faster that I expected."
6,B08268F6XN,AA,2020-07-16,Not Verified,Never want a disposable AA ever again, I didn't realize how barbaric it was to buy single-use batteries for my camera flashes until I got these rechargeable batteries. I can't imagine voluntarily buying a metal canister of heavy metal that I'll throw away in a week ever again. These things are rad.,M. L. Kijewski,5.0,7,2020,2020-07,Never want a disposable AA ever again I didn't realize how barbaric it was to buy single-use batteries for my camera flashes until I got these rechargeable batteries. I can't imagine voluntarily buying a metal canister of heavy metal that I'll throw away in a week ever again. These things are rad.
7,B08267BBJT,AAA,2020-07-01,Verified Purchase,Energy Storage Is Less Than 1/4 Normal Batteries.," They do charge quickly, but at what price? It seems the quick charge is due to the fact the total amount of energy stored by these batteries must be very low.  Tested on an efficient Led flashlight expecting to get 8 hours on the low setting as I do with normal batteries, but I only got an hour and a half.  Returning product.",Brent R.,1.0,7,2020,2020-07,"Energy Storage Is Less Than 1/4 Normal Batteries. They do charge quickly, but at what price? It seems the quick charge is due to the fact the total amount of energy stored by these batteries must be very low.  Tested on an efficient Led flashlight expecting to get 8 hours on the low setting as I do with normal batteries, but I only got an hour and a half.  Returning product."
8,B08267BBJT,AAA,2020-06-28,Verified Purchase,Poor Quality - Unreliable," I had high hopes for these batteries because the design is a great concept. However, I was very disappointed when I charged up the batteries and placed them in a flashlight and found that two of the batteries quit working after only a few minutes. Amazon offered to send me a replacement and yet I still have had the same issues with the second batch. I have tried using both sets in several different flashlights and have experienced much worse performance with them compared to generic AAA batteries that I bought at the grocery store. I have seen someone else write about a similar experience which leads me to believe that this is a common problem.",Christian D.,1.0,6,2020,2020-06,"Poor Quality - Unreliable I had high hopes for these batteries because the design is a great concept. However, I was very disappointed when I charged up the batteries and placed them in a flashlight and found that two of the batteries quit working after only a few minutes. Amazon offered to send me a replacement and yet I still have had the same issues with the second batch. I have tried using both sets in several different flashlights and have experienced much worse performance with them compared to generic AAA batteries that I bought at the grocery store. I have seen someone else write about a similar experience which leads me to believe that this is a common problem."
9,B08267X3LH,9V,2020-06-12,Verified Purchase,Get these batteries!, I can’t believe that I can love a battery. But I do! I’m replacing all my single use batteries now that I’ve found these guys,techie511,5.0,6,2020,2020-06,Get these batteries! I can’t believe that I can love a battery. But I do! I’m replacing all my single use batteries now that I’ve found these guys
