,asin,product,date,verified,title,desc,reviewer_name,rating
0,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 24, 2020",Verified Purchase,"
Not for sound hoarding
","

  Theyre not good. They look nice but the sound is not clear and relatively low compared to other headsets like the A6. If you're playing games that require sound hoarding this is NOT the headset to buy.

",Archon,2.0
1,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 24, 2020",Verified Purchase,"
Forget about Buying These Headphones
","

  Bought HyperX Cloud Stinger at discount during Black Friday 2019 for $30. They are sold normally for $50.  I read reviews and watch Youtube, like with others I wanted a good decent headset for $50 or under.They are not worth buying full price for $50, not even $30.I didn't use the microphone until a week ago. The microphone is bad--suck bad. I had to adjust the mic volume on PS4 to high for someone to barely hear you. My old Turtle Beach headset's mic is load and clear, opposite, had to adjust PS4 microphone volume to the very low end.The volume linear slider is not precise, stupid. Stick with what works and has worked, a wheel volume control. The  volume adjustment is bad-sucks.The only good thing is the audio quality, it is clear and the range of sounds are good.This headphone is not worth $50 that is for sure, good that I didn't pay that, it's not worth paying $30 also.

",zeeinAZ,1.0
2,B01L2ZRYVE,Style: Stinger Core Wireless 7.1Pattern Name: Gaming Headset,"August 23, 2020",Verified Purchase,"
Dead on arrival.
","

  Dead on arrival. Thought they needed a charge. Nope. Light is only green when plugged in. Otherwise the power button does nothing. Waste of money. Should’ve bought something else. Now I have to wait 5 more days for a good quality one.

",Brandon,1.0
3,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 23, 2020",Verified Purchase,"
Satisfied gamer
","

  My son loved it.

",Colleen liljenquist,5.0
4,B01L2ZRYVE,Style: Stinger Core 7.1Pattern Name: Gaming Headset,"August 23, 2020",Verified Purchase,"
Beats most expensive gaming headsets.
","

  HyperCloud is the only gaming headset company whose headsets can rival genuine audiophile companies. Most ""gaming"" headsets have shit on-board drivers that are just flashy and expensive with crappy quality. Hypercloud is 100% worth the money and can take on even studio-quality headsets.

",Hunter Seitz,5.0
5,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 23, 2020",Verified Purchase,"
Not good
","

  I bought them, plugged them into the splitter and plugged them into my computer and my microphone doesn’t work. Tried everything and nothing works

",Jamie Agostinelli,2.0
6,B01L2ZRYVE,Style: Stinger Core 7.1Pattern Name: Gaming Headset,"August 22, 2020",Verified Purchase,"
After having a hyperx  cloud 2 i had to return these and order another one of those.
","

  This is not a bad headset at all but i just didnt like the way the sound quality of it was. It to my ears sounded really tinny sounding. Keep in mind everybodys hearing is different and it might sound great to you but i have gotten used to the hyperx cloud 2 which i ended up reordering after getting this headset because it sounds os much better. If you only got around 50 bucks this is a good headset. If you can spare the extra fifty though definitely go for the cloud 2 its in my opinion twice the headset this is. Like i say im not downing this headset its good for what it is but i didnt really like it that much. As with every review this is my opinion, youll need to make your own decision based on your personal sound tastes.

",j brown,3.0
7,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 22, 2020",Not Verified,"
DO NOT USE FOR CHROMEBOOK
","

  I bought these, and I got home to try them on my Chromebook. When I plugged them in for music, it was terrible. Half of the words are impossible to hear, and other times, the words are too loud and you can't hear the music. The sound quality is terrible and there is absolutely NO bass sound at all. It was really hard to use when talking to people  on games and Google Hangouts, because the mic doesn't work and everybody said they couldn't hear me. I couldn't hear the correct sounds in any games, because the bass or the words would almost always be messed up. They are $50 but the quality is about $4.99. I wouldn't recommend this to Satan, Voldemort, Hitler, or my worst enemy.

",Michael Purfield,1.0
8,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 22, 2020",Verified Purchase,"
Headset review
","

  Headset is perfect, fantastic sound quality, mic sounds great, no background noise, and 100% noise cancellation. It’s an all around headset for a better price than most!

",Jose Zamora,5.0
9,B01L2ZRYVE,Style: Stinger WirelessPattern Name: Gaming Headset,"August 21, 2020",Verified Purchase,"
HyperX Cloud Stinger Wireless headset
","

  The product was arrived on time.  Its' great using on gaming

",Dee,5.0
10,B01L2ZRYVE,Style: Stinger CorePattern Name: Gaming Headset,"August 20, 2020",Verified Purchase,"
bad mic
","

  horrible mic

",Vinh Nguyen,2.0
11,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 20, 2020",Verified Purchase,"
Not the most reliable
","

  Randomly stopped working after 2 months. I almost threw it out but decided to try dropping it to see if that would fix it. That worked and I'm not sure how I feel about that.

",Apaulose,3.0
12,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 20, 2020",Verified Purchase,"
Good for the value
","

  I bought these for my son to go with his new Xbox. He loves them! He said they are comfortable, have great sound quality, likes the mic and the noise cancelling. He would purchase these again when he needs to replace them.

",Amazon Customer,5.0
13,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 20, 2020",Verified Purchase,"
Stopped working suddenly
","

  Stopped working within 6 months. Very disappointed after spending the money. The sound quality and mic quality was pretty good when it lasted. Not the most comfortable headset, it doesn’t hug your head that well and can be shaken off. Again very disappointed that it stopped working, I have been fairly gentle with it as well.

",Abhishek Ravi,1.0
14,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 20, 2020",Verified Purchase,"
Me encanto este producto
","

  Sabia que eran buenos, pero no esperaba que me acomodaran tanto y que fueran tan flexibles ademas de que vino con un cable para extender el cable si así lo deseas.

",Joel Piña Felipe,5.0
15,B01L2ZRYVE,Style: Stinger Core 7.1Pattern Name: Gaming Headset,"August 20, 2020",Verified Purchase,"
Great quality for a great price
","

  Great gaming headset. I use it for Discord during gameplay. Affordable price with good quality. Easy to use.

",Amazon Customer,5.0
16,B01L2ZRYVE,Style: Stinger Core Wireless 7.1Pattern Name: Gaming Headset,"August 20, 2020",Verified Purchase,"
Does not stay powered on
","

  I am only giving it 2 stars because the audio is good an it's comfortable. I purchased this to use while working from home, meetings/web calls. I had charged it for more than 24hrs after receiving it. My first, and only day using it, the headset kept powering off on it's own while I was on a call or in a zoom session. It didn't do much for noise cancellation, I could hear my kid in another room across the house. Also to note, the power button, volume knob, and microphone feel cheap.

",mark hughes,2.0
17,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 19, 2020",Not Verified,"
Great for gaming
","

  They worked great my nephew loves them said they were the best head phones he has  had .

",Amy Sherrill,5.0
18,B01L2ZRYVE,Style: Stinger Core Wireless 7.1Pattern Name: Gaming Headset,"August 19, 2020",Not Verified,"
Excelente compra, recomendado
","

  Excelente producto. Tiene un sonido excelente, una cancelación de ruido de fondo que no había visto en otros auriculares, además de ser cómodos, livianos y hasta el momento la batería dura bastante.No he usado el 7.1 que se activa mediante el software porque sólo he visto reviews negativos al respecto, pero con el sonido base funciona perfectamente, incluyendo un excelente sonido posicional. Recomendado.

",Paolo,5.0
19,B01L2ZRYVE,Style: Stinger Core Wireless 7.1Pattern Name: Gaming Headset,"August 18, 2020",Verified Purchase,"
The headset is a little tight
","

  I bought this headset to use for working from home and the sound quality is good, the mic is good, and the style is good. The only bad thing is that it's a little tight on my head. I have to take it off maybe after having it on for 2-3 hours to give my head a break. Going to be returning this because it's a deal breaker for me.

",Amazon Customer,3.0
20,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 18, 2020",Verified Purchase,"
Broke within 2 weeks
","

  It was very good for the short time it worked, but within 2 weeks there was no sound and no audio input.

",Basu,1.0
21,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 17, 2020",Not Verified,"
My Review of the STINGER! What splash for the ears
","

  I had to employ myself to write this review. It was destined to come out as you read. Those ear cuffs are pillows of joy for the ear. The marketing team went to work but this time with the real deal. That was my spiel and the reason to buy these puppies, you won't be let down. And yes, there is a vast amount of others but nothing quite like these.

",Marcelo Miranda,5.0
22,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 17, 2020",Not Verified,"
Returned it and missed them after
","

  Very lightweight and comfortable... I wear a 7/58 hat so somewhat bigger head and the earphones fit good over the ears and never really puts pressure on your head.Feel great look meh... They look and feel ok. Just good enough to justify the money but the design is genericSound is very even and crisp in game. Not overlly loud blow out your ears. But some people want that. if you want super loud head phones these probably arent it. but the sound is great. Microphone is good for the price and works fine.The cables are kinda trash and are the reason why I returned these. I upgraded to wireless. But not the same brand. I miss the fit though so if you want lightweight comfort and can stand the cables these are a good buy

",dude,4.0
23,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 16, 2020",Verified Purchase,"
mic didnt work
","

  The gaming headset looked very nice, the colors, the design, but the microphone didn't work, other people can't hear it very well, it locks up and it only lasted 3 months and you couldn't even buy an insurance

",joe q,2.0
24,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 16, 2020",Not Verified,"
Two mics both are defective! Horrible CS
","

  I received this headset for my birthday in April. Within a month my headsets headphones stopped working I was constantly having connection issues seems like a wire is shorted. My dad ordered another one and the second one is also defective and is shorting out in the headphones. We were told we could only return one headset because the other was past it’s 30 days. How are you not going to honor the fact that your product has literally shorted out twice?! Defective item and you won’t let us return it. I need a mic for work since I work from home. I’ve had to use a cheap pair of ear buds while waiting on the new mic and for it to arrive with the same problem instantly. I’m beyond frustrated and will never buy from this brand/company ever.

",McKenzie,1.0
25,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 16, 2020",Verified Purchase,"
Good when they work. Annoying when they don't
","

  Great for the first couple months then started to have a high pitch ring every so often when playing games. Customer support stopped responding to me after giving me warranty instructions that didn't work for me. I'll be looking for another brand for my next pair

",David,3.0
26,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 14, 2020",Verified Purchase,"
The silence mechanism needs to be improved
","

  Without a doubt it is a great product if your budget is tight, the only problem I have had is that the mechanism to mute the microphone fails and my voice stops being heard, which is terrible, but with a movement it returns to normal, anyway it is a bit frustrating, I recommend buying only if it is on sale, otherwise I would recommend saving a little more and going for some either from the same brand or another, but with a higher quality.

",Alois Carrera,3.0
27,B01L2ZRYVE,Style: Stinger Core Wireless 7.1Pattern Name: Gaming Headset,"August 14, 2020",Verified Purchase,"
Was super low... my friends couldn’t hear me on the mic either
","

  Couldn’t hear a thing....

",Amanda Bovo,1.0
28,B01L2ZRYVE,Style: Stinger CorePattern Name: Gaming Headset,"August 14, 2020",Verified Purchase,"
Great product, great buy!
","

  Sounds good and for the price it’s a great buy

",Justin Meinke,5.0
29,B01L2ZRYVE,Style: StingerPattern Name: Gaming Headset,"August 13, 2020",Verified Purchase,"
Low quality
","

  Son used these on his xbox for about 6 months but then the microphone stopped working. Disappointed with that quality.

",Nicole,2.0
