,asin,product,date,verified,title,desc,reviewer_name,rating
0,B08DRKRN51,null,20-Sep-20,Verified Purchase,"
Cools great, great for travel or your desk
","

  A nice little fan you could keep on your desk or bring with you to travel. Very nice that it is rechargeable with the same cord you could charge your phone or other accessories with. Very cool when you add ice or water to it. I see many uses for this little fan and will bring it whenever I travel.

",Steven,5
1,B08DRKRN51,null,19-Sep-20,Verified Purchase,"
Amazing
","

  Didn't really didnt know what to expect when I order this product. When. I am working in my office it get so hot and I dont ahave a ac in there. I try a fan but it blows hot air. So I found this product and decides to give it a shot. To my surprise it blew me away. I put it together and plugged it in and in a few seconds it was blowing cold air. I'm just happy that whoever came up with this is a very smart person. I highly recommend this. Hope you love it as well as I do.

",Jerry Steele,5
2,B08DRKRN51,null,18-Sep-20,Not Verified,"
Looks so cute
","

  We love this cute small fan very much. Because we can carry it to everywhere! Always turn it to the highest when we use it. Love it so much!!

",YoYo,5
3,B08DRKRN51,null,18-Sep-20,Verified Purchase,"
Works as a fan
","

  This does not really cool more than a normal fan.I have yet to see the ionizing lights turn onAfter 3 days it started making a weird sound as well. The sound occurs only on the lowest fan speed setting.It still works, but this is definitely no air conditioning unit.

",Neel S,2
4,B08DRKRN51,null,18-Sep-20,Verified Purchase,"
Not that as big but it does a great job
","

  When I first opened the box, I thought this little thing would not work.  My company is trying to save money and at times will not turn in the ac.  But when I used it in my cubicle at work, it provided the extra comfort I needed.  It does work better with ice cubes.  Make sure it’s chipped because it cubes maybe too big to fit through.  I would definitely recommend this product.  Looks maybe deceiving, but it’s a great product

",danny kuo,5
5,B08DRKRN51,null,18-Sep-20,Verified Purchase,"
GREAT little fan
","

  This is the little fan that could!  I bought a couple different fans to use and this little guy out cooled them.  When you  soak the filters in cold water before you will get great cooling and will keep you cool.  In my camping ""must have"" list

",apkesler,5
6,B08DRKRN51,null,17-Sep-20,Verified Purchase,"
Portable cooler
","

  Nice and compact. Easy to assembly and use. Gives off great cool air. Just what I was looking for. Will definitely purchase another one.

",Y. Owens-Fields,5
7,B08DRKRN51,null,16-Sep-20,Verified Purchase,"
Works exactly as I expected! Very happy with this purchase!
","

  When the filter is completely frozen, and ice is in the reservoir, this little guy is great! However that filter thaws out quickly! Make sure to order some extra, helps in the middle of the night. I can finally use a blanket at night! Very satisfied. Just wish I could freeze the filter longer, lol.

",Linda M,3
8,B08DRKRN51,null,16-Sep-20,Verified Purchase,"
Do not buy
","

  Work for less than 5 minutes and would not recharge that is junk do not buy

",Amazon Customer,1
9,B08DRKRN51,null,14-Sep-20,Verified Purchase,"
Helps with the Smokey air
","

  Great for air quality! Bought this to cool off in the RV but it’s got anew purpose! It adds moisture to the air which is helping us breath during fire season! This is a wonderful little portable ac with a bonus due to the ability to use water with it.

",Lisa,5
10,B08DRKRN51,null,14-Sep-20,Verified Purchase,"
OK as just a weak fan
","

  Not worth it

",NE Ohio - USA Amazon Customer,1
11,B08DRKRN51,null,13-Sep-20,Verified Purchase,"
Small but powerful cooling portable air conditioner and humidifier
","

  Small but powerful cooling portable air conditioner that does a good job keeping us cool while we sit and chat with neighbors in our garage. We just add water with some ice and turn on and blows nice cool air. I like that it’s portable and lightweight to use in other rooms. Happy with my portable ac humidifier.

",KH,5
12,B08DRKRN51,null,12-Sep-20,Verified Purchase,"
Cool device!
","

  I set this up in my kitchen because it can get so hot in there while I'm cooking. I fill it up with cold water and throw in a few ice chips. It blows out nice cool air. It's very small and portable and can be taken anywhere! Just be careful transporting it while water is inside because it may leak. Overall I'm happy with this purchase and believe it can work well to cool up small spaces!

",Jessica Mull,5
13,B08DRKRN51,null,12-Sep-20,Verified Purchase,"
Perfect for desk
","

  A perfect little ac for your desk! If you use little ice cubes it works really great and stays cold. Easy to use. My husband likes it on his desk in his office on hot days where it’s not quite hot enough to use the central air.

",Shawna Hawes,5
