,Unnamed: 0,asin,product,date,verified,title,desc,reviewer_name,rating,title_desc
0,0,B0873WS5FQ,,"August 25, 2020",Verified Purchase,Recommended for only a very small space,  Unit is a small swamp cooler unfortunately too small to be effective for any area would need to be at least double in size to be effective. Fan speed would also need to be increased by at least twice.,Jason Mayo,2.0,Recommended for only a very small space  Unit is a small swamp cooler unfortunately too small to be effective for any area would need to be at least double in size to be effective. Fan speed would also need to be increased by at least twice.
1,1,B0873WS5FQ,,"August 25, 2020",Verified Purchase,Cumbersome to use and doesn't provide the cooling one expects.,"  While this product does provide a modicum of cooling, a small, desktop small fan works a lot better.  Not worth the price unfortunately.",Congagirl,3.0,"Cumbersome to use and doesn't provide the cooling one expects.  While this product does provide a modicum of cooling, a small, desktop small fan works a lot better.  Not worth the price unfortunately."
2,2,B0873WS5FQ,,"August 25, 2020",Verified Purchase,Not worth it,"  Even if you put ice in the water container,It’s only work until the ice melts which isn’t that long.",dominic ciro,1.0,"Not worth it  Even if you put ice in the water container,It’s only work until the ice melts which isn’t that long."
3,3,B0873WS5FQ,,"August 24, 2020",Verified Purchase,A Toaster-Sized Personal Swamp Cooler That Works,"  This easy to use device puts-out significant cool air when it is close to, and aimed at, a person.  It is easy to set-up.  The lowest fan setting is a bit noisy for sleeping, but it is tolerable.  Affordable, too!",JF,5.0,"A Toaster-Sized Personal Swamp Cooler That Works  This easy to use device puts-out significant cool air when it is close to, and aimed at, a person.  It is easy to set-up.  The lowest fan setting is a bit noisy for sleeping, but it is tolerable.  Affordable, too!"
4,4,B0873WS5FQ,,"August 21, 2020",Verified Purchase,It doesn't work well for the money,"  This is a very small, weak fan... the filter in cool water, put in fridge feature doesn't work.  This is nothing more than a gimmacky way to pretend its an upgrade over a fan, and its not.  pay 1/3 of this, and get an oscillating, more powerful fan... and not something that holds like 16 ounces of water and pretends to be more than it is.",Jack Giarratana,1.0,"It doesn't work well for the money  This is a very small, weak fan... the filter in cool water, put in fridge feature doesn't work.  This is nothing more than a gimmacky way to pretend its an upgrade over a fan, and its not.  pay 1/3 of this, and get an oscillating, more powerful fan... and not something that holds like 16 ounces of water and pretends to be more than it is."
5,5,B0873WS5FQ,,"August 18, 2020",Verified Purchase,Perfect fan cooler for my desk,"  I've had a few personal coolers before and they always leaked or had an issue when using it within the first week, I even bought an evapolar before and it looked great but it gave me issues from the getgo so I had to return it. This one looked awesome in the photos and also had good reviews so I got it. From its box to the air flow, this was a great surprise. It has 2 speeds but it has wider coverage than the pervious coolers I had. The filter is removable so I stick it in the fridge at night so in the morning when the sun is directly on my window, it gives me a cooler breeze (don't put it in freeze cuz it will just freeze). Just note.. THIS WILL NOT COOL YOUR ROOM! I saw the bad reviews but this is just for 5 feet or less so be prepared. If you decide on getting it, you'll appreciate it!",Jenny simpson,5.0,"Perfect fan cooler for my desk  I've had a few personal coolers before and they always leaked or had an issue when using it within the first week, I even bought an evapolar before and it looked great but it gave me issues from the getgo so I had to return it. This one looked awesome in the photos and also had good reviews so I got it. From its box to the air flow, this was a great surprise. It has 2 speeds but it has wider coverage than the pervious coolers I had. The filter is removable so I stick it in the fridge at night so in the morning when the sun is directly on my window, it gives me a cooler breeze (don't put it in freeze cuz it will just freeze). Just note.. THIS WILL NOT COOL YOUR ROOM! I saw the bad reviews but this is just for 5 feet or less so be prepared. If you decide on getting it, you'll appreciate it!"
6,6,B0873WS5FQ,,"August 17, 2020",Verified Purchase,Impressive little unit,"  This guy is small yet powerful. It’s also fairly quiet.  It’s in the mid 90’s where I live and the heat is unbearable so I was hoping this would help. I plugged it in and was pleasantly surprised. It doesn’t work long distance or cover much area, but it’s perfect for my desk, providing a decent amount of cool air as I work, until this heatwave finally ends!",Rose Petal,5.0,"Impressive little unit  This guy is small yet powerful. It’s also fairly quiet.  It’s in the mid 90’s where I live and the heat is unbearable so I was hoping this would help. I plugged it in and was pleasantly surprised. It doesn’t work long distance or cover much area, but it’s perfect for my desk, providing a decent amount of cool air as I work, until this heatwave finally ends!"
7,7,B0873WS5FQ,,"August 17, 2020",Verified Purchase,Buy a fan.,  A fan would provide more comfort.,MaryEllen Scalice,1.0,Buy a fan.  A fan would provide more comfort.
8,8,B0873WS5FQ,,"August 12, 2020",Verified Purchase,Great,  Arrived earlier than expected. Perfect time for hot weather. Works great in the bedroom,noni e.,5.0,Great  Arrived earlier than expected. Perfect time for hot weather. Works great in the bedroom
9,9,B0873WS5FQ,,"August 12, 2020",Verified Purchase,"Just a fan, not very powerful","  Save your money. It’s not very powerful and is barely as strong as a standard small fan and for more money than a fan. Also well designed but very cheap looking and the top cover for the filter is already broken after a day of use, can’t close it fully. Did the optional steps of putting the filter in the fridge and putting water in the machine, no noticeable improvement. Don’t buy this, buy a large fan instead.",Eddie Pereira,1.0,"Just a fan, not very powerful  Save your money. It’s not very powerful and is barely as strong as a standard small fan and for more money than a fan. Also well designed but very cheap looking and the top cover for the filter is already broken after a day of use, can’t close it fully. Did the optional steps of putting the filter in the fridge and putting water in the machine, no noticeable improvement. Don’t buy this, buy a large fan instead."
10,10,B0873WS5FQ,,"August 11, 2020",Verified Purchase,Brizer evaporative cooler,"  I love this product you can freeze the filter, which is very high quality. It's small and compact and a child could operate easily. My central ac system didn't get my man cave cold upstairs enough, even with a ceiling fan and an air purifier running it was still few degrees too warm to properly cool me and my gear properly. This unit solved that and my hallway is even colder, this little cube keeps my 14'x14' man cave perfect temp now I'm comfortable and my giant 4k tv and gear is working alot better because it's not overheating. Don't buy those cheap 20-50 dollar evaporative coolers, they suck . This $60 unit does exactly what you'll need on office desk or like I have it on my mini fridge. You'll get 4-6° cooler and cleaner air to boot",jesse James 78,5.0,"Brizer evaporative cooler  I love this product you can freeze the filter, which is very high quality. It's small and compact and a child could operate easily. My central ac system didn't get my man cave cold upstairs enough, even with a ceiling fan and an air purifier running it was still few degrees too warm to properly cool me and my gear properly. This unit solved that and my hallway is even colder, this little cube keeps my 14'x14' man cave perfect temp now I'm comfortable and my giant 4k tv and gear is working alot better because it's not overheating. Don't buy those cheap 20-50 dollar evaporative coolers, they suck . This $60 unit does exactly what you'll need on office desk or like I have it on my mini fridge. You'll get 4-6° cooler and cleaner air to boot"
11,11,B0873WS5FQ,,"August 11, 2020",Verified Purchase,Waste of money,  It stated it would cool a small room..........wrong!!! It barely makes a space about 2 foot away cool.  Don't waste your money.,Kindle Customer,1.0,Waste of money  It stated it would cool a small room..........wrong!!! It barely makes a space about 2 foot away cool.  Don't waste your money.
12,12,B0873WS5FQ,,"August 7, 2020",Verified Purchase,Just a low powered swamp cooler,"  This is just a very low powered swamp cooler. They use these in Arizona for houses, only bigger. This thing is basically a low powered fan that blows mildly cooler air at you. A regular fan, that can blow harder would be better. This thing makes no difference in cooling, as I suspext most other mini coolers do. Gave it a chance based on the . I am thinking now, faked reviews. It is not worth the money. Even filled it with ice. No difference at all. Dont buy.",Parker,1.0,"Just a low powered swamp cooler  This is just a very low powered swamp cooler. They use these in Arizona for houses, only bigger. This thing is basically a low powered fan that blows mildly cooler air at you. A regular fan, that can blow harder would be better. This thing makes no difference in cooling, as I suspext most other mini coolers do. Gave it a chance based on the . I am thinking now, faked reviews. It is not worth the money. Even filled it with ice. No difference at all. Dont buy."
