Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.4913995781571597
100% Corpus,2,0.01,0.31,0.4601348145742704
100% Corpus,2,0.01,0.61,0.418205898679261
100% Corpus,2,0.01,0.9099999999999999,0.5069231273101842
100% Corpus,2,0.01,symmetric,0.48900518512844365
100% Corpus,2,0.31,0.01,0.48915605137005685
100% Corpus,2,0.31,0.31,0.43963457177164045
100% Corpus,2,0.31,0.61,0.4300476153450741
100% Corpus,2,0.31,0.9099999999999999,0.5253209466120103
100% Corpus,2,0.31,symmetric,0.440743822906672
100% Corpus,2,0.61,0.01,0.4894601260728443
100% Corpus,2,0.61,0.31,0.44633831114376854
100% Corpus,2,0.61,0.61,0.38906274225932863
100% Corpus,2,0.61,0.9099999999999999,0.3989493554528418
100% Corpus,2,0.61,symmetric,0.4702571364845161
100% Corpus,2,0.9099999999999999,0.01,0.5067056996062197
100% Corpus,2,0.9099999999999999,0.31,0.5047997083127848
100% Corpus,2,0.9099999999999999,0.61,0.4075590204578138
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.34464587815630965
100% Corpus,2,0.9099999999999999,symmetric,0.5076659549410703
100% Corpus,2,symmetric,0.01,0.5040269867965442
100% Corpus,2,symmetric,0.31,0.4550476590171334
100% Corpus,2,symmetric,0.61,0.41636092009761355
100% Corpus,2,symmetric,0.9099999999999999,0.507803045539179
100% Corpus,2,symmetric,symmetric,0.48653894064626557
100% Corpus,2,asymmetric,0.01,0.4804650604470253
100% Corpus,2,asymmetric,0.31,0.47517717396596987
100% Corpus,2,asymmetric,0.61,0.4795283752304461
100% Corpus,2,asymmetric,0.9099999999999999,0.4669699893925964
100% Corpus,2,asymmetric,symmetric,0.49112560905555236
100% Corpus,3,0.01,0.01,0.49909195782881693
100% Corpus,3,0.01,0.31,0.48400212873283455
100% Corpus,3,0.01,0.61,0.41829408478598634
100% Corpus,3,0.01,0.9099999999999999,0.4888084911255226
100% Corpus,3,0.01,symmetric,0.4811865111963386
100% Corpus,3,0.31,0.01,0.47557043462916937
100% Corpus,3,0.31,0.31,0.4132565465799141
100% Corpus,3,0.31,0.61,0.4380326383007852
100% Corpus,3,0.31,0.9099999999999999,0.552422043551099
100% Corpus,3,0.31,symmetric,0.46643712290862976
100% Corpus,3,0.61,0.01,0.49504390138369747
100% Corpus,3,0.61,0.31,0.4408683435975241
100% Corpus,3,0.61,0.61,0.3818942519026175
100% Corpus,3,0.61,0.9099999999999999,0.39160217449766155
100% Corpus,3,0.61,symmetric,0.4855155315413562
100% Corpus,3,0.9099999999999999,0.01,0.5085052217683709
100% Corpus,3,0.9099999999999999,0.31,0.4984638235330112
100% Corpus,3,0.9099999999999999,0.61,0.4092790343826988
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3498134760508953
100% Corpus,3,0.9099999999999999,symmetric,0.5183539852393183
100% Corpus,3,symmetric,0.01,0.5019698833747225
100% Corpus,3,symmetric,0.31,0.45963854882569677
100% Corpus,3,symmetric,0.61,0.421167353168692
100% Corpus,3,symmetric,0.9099999999999999,0.5153711810755416
100% Corpus,3,symmetric,symmetric,0.47786469556381395
100% Corpus,3,asymmetric,0.01,0.4845864708151379
100% Corpus,3,asymmetric,0.31,0.47098633316505606
100% Corpus,3,asymmetric,0.61,0.46118709710712685
100% Corpus,3,asymmetric,0.9099999999999999,0.4749981964319726
100% Corpus,3,asymmetric,symmetric,0.4874872431889076
100% Corpus,4,0.01,0.01,0.500623735534065
100% Corpus,4,0.01,0.31,0.4730394807255577
100% Corpus,4,0.01,0.61,0.4109771355741473
100% Corpus,4,0.01,0.9099999999999999,0.4815702017617271
100% Corpus,4,0.01,symmetric,0.48180468407730015
100% Corpus,4,0.31,0.01,0.47184365786510546
100% Corpus,4,0.31,0.31,0.426418978114633
100% Corpus,4,0.31,0.61,0.4394261329640342
100% Corpus,4,0.31,0.9099999999999999,0.532864940524864
100% Corpus,4,0.31,symmetric,0.45430710013648296
100% Corpus,4,0.61,0.01,0.4915310538725888
100% Corpus,4,0.61,0.31,0.4415421583463529
100% Corpus,4,0.61,0.61,0.3985626944077515
100% Corpus,4,0.61,0.9099999999999999,0.38379319888759333
100% Corpus,4,0.61,symmetric,0.49437020399272347
100% Corpus,4,0.9099999999999999,0.01,0.5125534017179417
100% Corpus,4,0.9099999999999999,0.31,0.4907462878302072
100% Corpus,4,0.9099999999999999,0.61,0.402933174057286
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3530773193333415
100% Corpus,4,0.9099999999999999,symmetric,0.5098217035592669
100% Corpus,4,symmetric,0.01,0.5100463829544488
100% Corpus,4,symmetric,0.31,0.4651741093340388
100% Corpus,4,symmetric,0.61,0.41644566827240814
100% Corpus,4,symmetric,0.9099999999999999,0.5200560067725455
100% Corpus,4,symmetric,symmetric,0.47472174467498124
100% Corpus,4,asymmetric,0.01,0.47494054086987464
100% Corpus,4,asymmetric,0.31,0.46645512858994137
100% Corpus,4,asymmetric,0.61,0.45891475803999604
100% Corpus,4,asymmetric,0.9099999999999999,0.47060012387041433
100% Corpus,4,asymmetric,symmetric,0.4940958320697243
100% Corpus,5,0.01,0.01,0.49025287330620665
